2021-08-19 22:20:47 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-08-19 22:20:47 status half-installed libasyncns0:amd64 0.8-6
2021-08-19 22:20:47 status unpacked libasyncns0:amd64 0.8-6
2021-08-19 22:20:47 install libdrm-amdgpu1:amd64 <none> 2.4.105-3~20.04.1
2021-08-19 22:20:47 status half-installed libdrm-amdgpu1:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:47 status unpacked libdrm-amdgpu1:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:47 install libpciaccess0:amd64 <none> 0.16-0ubuntu1
2021-08-19 22:20:47 status half-installed libpciaccess0:amd64 0.16-0ubuntu1
2021-08-19 22:20:47 status unpacked libpciaccess0:amd64 0.16-0ubuntu1
2021-08-19 22:20:47 install libdrm-intel1:amd64 <none> 2.4.105-3~20.04.1
2021-08-19 22:20:47 status half-installed libdrm-intel1:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:47 status unpacked libdrm-intel1:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:47 install libdrm-nouveau2:amd64 <none> 2.4.105-3~20.04.1
2021-08-19 22:20:47 status half-installed libdrm-nouveau2:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:47 status unpacked libdrm-nouveau2:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:47 install libdrm-radeon1:amd64 <none> 2.4.105-3~20.04.1
2021-08-19 22:20:47 status half-installed libdrm-radeon1:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:47 status unpacked libdrm-radeon1:amd64 2.4.105-3~20.04.1
2021-08-19 22:20:47 install libflac8:amd64 <none> 1.3.3-1build1
2021-08-19 22:20:47 status half-installed libflac8:amd64 1.3.3-1build1
2021-08-19 22:20:47 status unpacked libflac8:amd64 1.3.3-1build1
2021-08-19 22:20:47 install libfontconfig1:amd64 <none> 2.13.1-2ubuntu3
2021-08-19 22:20:47 status half-installed libfontconfig1:amd64 2.13.1-2ubuntu3
2021-08-19 22:20:47 status unpacked libfontconfig1:amd64 2.13.1-2ubuntu3
2021-08-19 22:20:47 install libfontenc1:amd64 <none> 1:1.1.4-0ubuntu1
2021-08-19 22:20:47 status half-installed libfontenc1:amd64 1:1.1.4-0ubuntu1
2021-08-19 22:20:47 status unpacked libfontenc1:amd64 1:1.1.4-0ubuntu1
